Manufacturer,n,n_pos,prev,roc_auc,roc_lo,roc_hi,pr_auc,pr_lo,pr_hi,brier,cal_intercept,cal_slope
GE,138,67,0.4855072463768116,0.841706958166912,0.7754530729599766,0.9079608433738474,0.7815037163058377,0.6680842716121542,0.8957660091728709,0.1617310777424234,-0.23294770118025754,1.0999204139945795
Philips,2,1,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.24361524914958108,81.56306131146641,149.5696524648033
Siemens,3,2,0.6666666666666666,0.0,0.0,1.0,0.5833333333333333,0.3333333333333333,0.6666666666666666,0.29105079076881957,250.14229187336542,-412.15321160696334
