age_bin,n,n_pos,prev,roc_auc,roc_lo,roc_hi,pr_auc,pr_lo,pr_hi,brier,cal_intercept,cal_slope
Q1 [48-62),35,18,0.5142857142857142,0.8398692810457515,0.7057572423492349,0.9739813197422682,0.864766975630091,0.7133210580357353,0.9652477047949185,0.1642768824904757,-0.07529657658422312,1.2384550876159166
Q2 [62-66),30,12,0.4,0.9490740740740741,0.8805707896347543,1.0,0.9298280423280424,0.8022486173956761,1.0,0.11129517484908426,-0.6544782986510522,1.974423448102753
Q3 [66-72),40,18,0.45,0.8030303030303031,0.6630400177424568,0.9430205883181494,0.6967015672517701,0.4984002935032668,0.9291924223437382,0.18371177390141566,-0.2688427968131326,0.8251885399510428
Q4 [72-87),37,22,0.5945945945945946,0.7393939393939395,0.5619427926977687,0.9168450860901103,0.7731196198190932,0.5881055749514503,0.9415083705145604,0.1940125394559415,0.08303281223721083,0.8184346375378473
